        "132","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-7933","Planificación de proyectos de espectáculos y eventos","1"
        "133","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-7935","Recursos expresivos audiovisuales y escénicos","1"
        "134","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-7950","Administración y promoción de audiovisuales y espectáculos","1"
        "135","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-7952","PAE - Empresa e iniciativa emprendedora","1"
        "136","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-7940","Formación en centros de trabajo","1"
        "137","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-7945","Gestión de proyectos de cine, video y multimedia","1"
        "138","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-7948","Gestión de proyectos de espectáculos y eventos","1"
        "139","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-7946","Gestión de proyectos de televisión y radio","1"
        "140","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-7942","Lengua extranjera profesional: Inglés 2","1"
        "141","Top/CPIFP LOS ENLACES/Producción de Audiovisuales y Espectáculos","50010314-IMS302-7951","Proyecto de producción de audiovisuales y espectáculos","1"
        "142","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-750t","Coordinación - Tutoría","1"
        "143","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-7855","Comunicación y atención al cliente","1"
        "144","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-8491","Formación y orientación laboral","1"
        "145","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-7851","Gestión de la documentación jurídica y empresarial","1"
        "146","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-7862","Inglés","1"
        "147","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-7853","Ofimática y proceso de la información","1"
        "148","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-7854","Proceso integral de la actividad comercial","1"
        "149","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-7852","Recursos humanos y responsabilidad social corporativa","1"
        "150","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-7861","Formación en centros de trabajo","1"
        "151","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-7871","Gestión avanzada de la información","1"
        "152","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-7870","Organización de eventos empresariales","1"
        "153","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-7869","Protocolo empresarial","1"
        "154","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-7872","Proyecto de asistencia a la dirección","1"
        "155","Top/CPIFP CORONA DE ARAGÓN/Asistencia a la Dirección","50018829-ADG302-7863","Segunda lengua extranjera: Francés","1"
        "156","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-79t","Coordinación - Tutoría","1"
        "157","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-5297","Comunicación y atención al cliente","1"
        "158","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-5403","Formación y Orientación Laboral","1"
        "159","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-5194","Gestión de la documentación jurídica y empresarial","1"
        "160","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-5193","Inglés","1"
        "161","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-5295","Ofimática y proceso de la información","1"
        "162","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-5296","Proceso integral de la actividad comercial","1"
        "163","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-5294","Recursos humanos y responsabilidad social corporativa","1"
        "164","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-5101","Contabilidad y fiscalidad","1"
        "165","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-5152","Formación en centros de trabajo","1"
        "166","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-5099","Gestión de recursos humanos","1"
        "167","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-5100","Gestión financiera","1"
        "168","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-5148","Gestión logística y comercial","1"
        "169","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-5150","Proyecto de administración y finanzas","1"
        "170","Top/CPIFP CORONA DE ARAGÓN/Administración y Finanzas","50018829-ADG301-5149","Simulación empresarial","1"
        "171","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-122t","Coordinación - Tutoría","1"
        "172","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-5256","Análisis químicos","1"
        "173","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-5259","Ensayos fisicoquímicos","1"
        "174","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-5260","Ensayos microbiológicos","1"
        "175","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-5266","Formación y orientación laboral","1"
        "176","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-5270","Lengua Extranjera profesional: inglés 1","1"
        "177","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-5255","Muestreo y preparación de la muestra","1"
        "178","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-5031","Análisis instrumental","1"
        "179","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-5036","Calidad y seguridad en el laboratorio Global (LOE)","1"
        "180","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-5041","Empresa e iniciativa emprendedora","1"
        "181","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-5035","Ensayos biotecnológicos","1"
        "182","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-5032","Ensayos físicos","1"
        "183","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-5042","Formación en centros de trabajo","1"
        "184","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-5045","Lengua Extranjera profesional: inglés 2","1"
        "185","Top/CPIFP CORONA DE ARAGÓN/Laboratorio de Análisis y de Control de Calidad","50018829-QUI301-5039","Proyecto de laboratorio de análisis y de control de calidad","1"
        "186","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-624t","Coordinación - Tutoría","1"
        "187","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-5335","Automatismos industriales","1"
        "188","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-5337","Electrotecnia","1"
        "189","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-5344","Formación y orientación laboral","1"
        "190","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-5338","Instalaciones eléctricas interiores.","1"
        "191","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-12360","Instalaciones solares fotovoltaicas","1"
        "192","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-12359","Electrónica","1"
        "193","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-4986","Empresa e iniciativa emprendedora","1"
        "194","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-4987","Formación en centros de trabajo","1"
        "195","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-4981","Infraestructuras comunes de telecomunicaciones en viviendas y edificios","1"
        "196","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-4980","Instalaciones de distribución","1"
        "197","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-4982","Instalaciones domóticas.","1"
        "198","Top/CPIFP PIRÁMIDE/Instalaciones Eléctricas y Automáticas","22010712-ELE202-4984","Máquinas eléctricas","1"
        "199","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-757t","Coordinación - Tutoría","1"
        "200","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12339","Estructura y dinámica del medio ambiente","1"
        "201","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12340","Formación y orientación laboral","1"
        "202","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12338","Gestión ambiental","1"
        "203","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12341","Lengua extranjera profesional: inglés, 1","1"
        "204","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12342","Medio natural","1"
        "205","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12343","Métodos y productos cartográficos","1"
        "206","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12344","Programas de educación ambiental","1"
        "207","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12345","Actividades de uso público","1"
        "208","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12346","Actividades humanas y problemática ambiental","1"
        "209","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12347","Desenvolvimiento en el medio","1"
        "210","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12348","Empresa e iniciativa emprendedora","1"
        "211","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12349","Formación en centros de trabajo","1"
        "212","Top/CPIFP SAN BLAS/Educación y Control Ambiental","44003028-SEA301-12350","Habilidades sociales","1"
